원환 1,,,황2,,,환3,,,사각1,,,사각2,,,사각3,,,원판1,,,원판2,,,원판3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,회전축 지름 ,4.1cm
,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,,,원판지름 ,18cm
t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,,,,직사각형 판 넓이,8.2*18
0.9997,0.1320,0.0741,0.9997,0.0599,-0.1371,2.5326,0.1052,-0.0828,2.1994,-0.1216,-0.0660,0.9997,0.1054,0.1095,2.3660,0.0188,-0.1319,0.9997,0.0878,-0.1234,0.9997,0.0599,0.1379,3.0324,0.0173,-0.1330,,,,,
1.0330,0.1348,0.0691,1.0330,0.0551,-0.1388,2.5659,0.0977,-0.0901,2.2327,-0.1269,-0.0529,1.0330,0.1107,0.1041,2.3993,0.0054,-0.1328,1.0330,0.0813,-0.1271,1.0330,0.0660,0.1322,3.0658,0.0066,-0.1347,,,,,
1.0664,0.1371,0.0637,1.0664,0.0489,-0.1401,2.5992,0.0894,-0.0972,2.2660,-0.1312,-0.0402,1.0664,0.1124,0.0954,2.4326,-0.0068,-0.1325,1.0664,0.0735,-0.1310,1.0664,0.0716,0.1310,3.0991,-0.0053,-0.1346,,,,,
1.0997,0.1391,0.0583,1.0997,0.0438,-0.1415,2.6326,0.0792,-0.1032,2.2993,-0.1357,-0.0286,1.0997,0.1167,0.0884,2.4659,-0.0191,-0.1299,1.0997,0.0658,-0.1342,1.0997,0.0785,0.1290,3.1324,-0.0159,-0.1337,,,,,
1.1330,0.1414,0.0525,1.1330,0.0384,-0.1428,2.6659,0.0691,-0.1083,2.3327,-0.1332,-0.0115,1.1330,0.1206,0.0807,2.4993,-0.0308,-0.1280,1.1330,0.0582,-0.1371,1.1330,0.0825,0.1274,3.1657,-0.0295,-0.1311,,,,,
1.1663,0.1431,0.0465,1.1663,0.0328,-0.1436,2.6992,0.0597,-0.1132,2.3660,-0.1343,0.0035,1.1663,0.1248,0.0739,2.5326,-0.0444,-0.1245,1.1663,0.0496,-0.1416,1.1663,0.0971,0.1259,3.1991,-0.0414,-0.1277,,,,,
1.1997,0.1441,0.0404,1.1996,0.0269,-0.1442,2.7325,0.0528,-0.1162,2.3993,-0.1383,0.0183,1.1996,0.1286,0.0662,2.5659,-0.0571,-0.1195,1.1997,0.0385,-0.1431,1.1996,0.0993,0.1219,3.2324,-0.0531,-0.1214,,,,,
1.2330,0.1459,0.0345,1.2330,0.0209,-0.1447,2.7659,0.0414,-0.1198,2.4326,-0.1343,0.0325,1.2330,0.1325,0.0585,2.5992,-0.0687,-0.1158,1.2330,0.0326,-0.1457,1.2330,0.1063,0.1160,3.2657,-0.0637,-0.1148,,,,,
1.2663,0.1474,0.0281,1.2663,0.0137,-0.1462,2.7992,0.0318,-0.1222,2.4659,-0.1285,0.0480,1.2663,0.1354,0.0500,2.6326,-0.0796,-0.1076,1.2663,0.0234,-0.1464,1.2663,0.1123,0.1094,3.2990,-0.0746,-0.1080,,,,,
1.2996,0.1482,0.0214,1.2996,0.0068,-0.1475,2.8325,0.0212,-0.1237,2.4993,-0.1229,0.0628,1.2996,0.1364,0.0397,,,,1.2996,0.0138,-0.1468,1.2996,0.1129,0.0967,3.3324,-0.0839,-0.1035,,,,,
1.3329,0.1497,0.0137,1.3329,0.0007,-0.1467,2.8658,0.0105,-0.1248,2.5326,-0.1159,0.0774,1.3329,0.1434,0.0337,,,,1.3329,0.0040,-0.1465,1.3329,0.1185,0.0902,3.3657,-0.0950,-0.0952,,,,,
1.3663,0.1504,0.0065,1.3663,-0.0064,-0.1450,2.8992,-0.0104,-0.1286,2.5659,-0.1074,0.0909,1.3663,0.1451,0.0242,,,,1.3663,-0.0057,-0.1460,1.3663,0.1227,0.0815,3.3990,-0.1039,-0.0858,,,,,
1.3996,0.1503,-0.0006,1.3996,-0.0133,-0.1444,2.9325,-0.0228,-0.1301,2.5992,-0.0976,0.1011,1.3996,0.1465,0.0144,,,,1.3996,-0.0155,-0.1453,1.3996,0.1277,0.0744,3.4323,-0.1121,-0.0754,,,,,
1.4329,0.1480,-0.0086,1.4329,-0.0199,-0.1433,2.9658,-0.0339,-0.1269,2.6326,-0.0939,,1.4329,0.1467,0.0042,,,,1.4329,-0.0253,-0.1435,1.4329,0.1316,0.0656,3.4657,-0.1199,-0.0641,,,,,
1.4662,0.1482,-0.0149,1.4662,-0.0253,-0.1423,2.9991,-0.0452,-0.1233,,,,1.4662,0.1386,-0.0084,,,,1.4662,-0.0345,-0.1410,1.4662,0.1353,0.0572,3.4990,-0.1271,-0.0513,,,,,
1.4996,0.1470,-0.0224,1.4996,-0.0305,-0.1416,3.0324,-0.0557,-0.1183,,,,1.4996,0.1370,-0.0184,,,,1.4996,-0.0444,-0.1377,1.4996,0.1485,0.0389,3.5323,-0.1321,-0.0386,,,,,
